nonprofit_name,url,mission_vision_services,causes,phone,email,website,address,city,state,hours,ein,scraping_status
Urban League of Middle Tennessee,https://www.givingconnection.org/locations/199,"Mission: Mission: The mission of the Urban League of Middle Tennessee is to enable African Americans, other minorities and disenfranchised groups to secure economic self-reliance, power, parity, and civil rights. Services: Workforce Development: Provide employment services for Middle Tennessee residents. ULMT offers job seekers job leads and match with potential employers. ULMT conduct seminars, coaching in resume writing, interview skills and job readiness sessions. ULMT host monthly employer presentations, and job fairs annually. ULMT partnership with organization to support re-entry services and support. Nashville Youth Employment Corp at Maplewood High School: The Urban League of Middle Tennessee and Maplewood High School's faculty and administration collaborating together the Nashville Youth Training and Education Corp (Y-TEC) program on-site at Maplewood High School. Y-TEC is a school-to-work program that incorporates classroom instruction that is linked to workplace experiences and provides students with the information and skills needed to identify and prepare for promising careers. In addition, students enrolled in Y-TEC will receive structured on-the-job training and other workplace learning experiences appropriate to their career choices and linked to school curricula. Volunteer Services: Programs that engage the community in volunteer efforts that support the mission and vision of the urban league and the upliftment of the clients that we serve. Current volunteer groups include: - ULMT Young Professionals (ages 25-40) - ULMT GUILD (40 and above) Project Ready: Project Ready is a National Urban League initiative designed to improve academic performance, personal and social development, and cultural/historical awareness. We target students in grades 9-11. University partners include Lipscomb, Tennessee State, Fisk and Vanderbilt (Peabody) Universities. Students engage in monthly Saturday Academies during fall/winter/spring out-of-school times to develop new skills and fine-tune existing skills. Specific instruction in ACT prep, communication skills to include writing and speach is provided along with leadership training. Exposure to post secondary opportunities and environments is integrated into the experience through college tours, programming on college campuses and presentations from college professors. ULMT Read and Rise Literacy Initiative: The ULMT Read and Rise Literacy Initiative serves students in grades K-4. We partner with local churches and their zoned elementary school to provide after school literacy training two afternoons a week for an additional 6 hours of literacy instruction. Our partners to date have been Una Elementary and Mt. Lebanon Missionary Baptist Church and Glencliff Elementary and Kairos Community AME Church. Results from two years of implementation show significant, demonstrated increases for student participants. In 2015, we are working to expand to Buena Vista Elementary partnered with St. James Missionary Baptist Church and Napier Enhanced Option partnered with St. Luke. In addition to the program offered during the academic year, ULMT has provided a 2-3 week summer reading camp. The program features a variety of instructional and fun activities all geared toward enhancing the participants' enjoyment of reading and related activities. In total, ULMT has served 150 students over two years with our literacy initiative.","Advocacy, Education, Employment, Philanthropy",615-254-0525,ulmt@ulmt.org,https://www.ulmt.org/,"50 Vantage Way suite 201, Nashville, TN 37228, USA",Nashville,TN,Closed; Mon - Fri11:00 AM -  6:00 PM (EDT); SatClosed; SunClosed,,success
Sexaholics Anonymous Inc,https://www.givingconnection.org/locations/201,"Mission: Sexaholics Anonymous is a fellowship of men and women who share their experience, strength, and hope with each other that they may solve their common problem and help others to recover. Services: To answer all telephone calls regarding Sexaholics Anonymous, Inc. and distribute literature and information to all SA groups.","Health, Human & Social Services",866-424-8777,saico@sa.org,http://www.sa.org,"PO Box 3565  Brentwood, TN 37024",PO Box 3565 Brentwood,TN,Closed; Mon - Fri10:30 AM -  6:30 PM (EDT); SatClosed; SunClosed,,success
Gamblers Anonymous,https://www.givingconnection.org/locations/202,"Mission: Gamblers Anonymous is a fellowship of men and women who share their experience, strength and hope with each other that they may solve their common problem and help others to recover from a gambling problem. The only requirement for membership is a desire to stop gambling. There are no dues or fees for Gamblers Anonymous membership; we are self-supporting through our own contributions. Gamblers Anonymous is not allied with any sect, denomination, politics, organization or institution; does not wish to engage in any controversy; neither endorses nor opposes any cause. Our primary purpose is to stop gambling and to help other compulsive gamblers do the same.",Health,(909) 931-9056,isomain@gamblersanonymous.org,https://www.gamblersanonymous.org/ga/,"1306 Monte Vista Ave ste 5, Upland, CA 91786, USA",Upland,CA,Closed; Mon - FriClosed; SatClosed; SunClosed,,success
Sex and Love Addicts Anonymous (S.L.A.A.),https://www.givingconnection.org/locations/203,"Mission: Sex and Love Addicts Anonymous, or S.L.A.A., is a program for anyone who suffers from an addictive compulsion to engage in or avoid sex, love, or emotional attachment. We use the Twelve Steps and Twelve Traditions adapted from Alcoholics Anonymous to recover from these compulsions.",Health,615-092-0773,nashvilleslaaintergroupchair@gmail.com,https://slaanashville.org/,"Nashville, TN, USA",Nashville,TN,Closed; Mon - FriClosed; SatClosed; SunClosed,,success
Al-Anon Family Services Of Middle Tennessee Inc.,https://www.givingconnection.org/locations/204,"Mission: Al-Anon Family Groups is a fellowship of relatives and friends of alcoholics who share their experience, strength, and hope with each other in order to solve their common problems. We believe alcoholism is a family disease and that changed attitudes can aid recovery. Anyone whose life has been affected by someone else’s drinking qualifies for Al-Anon. This includes immediate family members, distant relatives, friends, roommates, co-workers, partners, neighbors, and even people from our past. Services: Alateen, a part of the Al-Anon Family Groups, is a fellowship of young people (mostly teenagers) whose lives have been affected by someone else's drinking whether they are in your life drinking or not. By attending Alateen, teenagers meet other teenagers with similar situations. Here is the updated list of resources for Alateen in Middle TN and online:","Children & Family Services, Health, Human & Social Services",615-333-6066,afsofmiddletn@gmail.com,http://www.middletnalanon.org,"530 26th Ave N, Nashville, TN 37209, USA",Nashville,TN,Closed; Mon - Fri12:00 PM -  4:00 PM (EDT); SatClosed; SunClosed,,success
"The Estuary, Inc.",https://www.givingconnection.org/locations/210,"Mission: The mission of The Estuary is to advocate a conscious and balanced life through self-discovery, relationships, education and Integrated Healing and to provide a venue for the process of healing to occur. Services: Individual, Couples and Family Counseling: In addition to the more traditional therapeutic techniques, the services at The Estuary may use a variety of healing methods to help you expand your awareness, experience the meaning of consciousness as a form of energy, and to realize you already know everything you need to know. Awakening enough to receive this message is the purpose of the services at the Estuary. We address a variety of issues and conditions with counseling and energy healing, including the following: · Stress/Burnout · Emotional pain · Effects of trauma · Life changes/Transitions · Grief/Loss · Death and dying counseling for the individual or the family · Depression · Anxiety · Relationship issues & divorce · Couples therapy for couples seeking a conscious, healthy partnership · Addiction and recovery issues · Family of origin issues · Childhood abuse issues · GLBT issues · Sexuality and identity issues · Spiritual crisis · Coping with medical or physical conditions · Therapy for family members who are struggling with their loved one's illness · Chronic pain · Lack of energy/fatigue · Therapy to prepare for surgery/medical procedures · Post operative healing · EMDR (Eye Movement Desensitization and Reprocessing The School of Healing Arts: An intensive course of study for students who wish to embark on an in-depth program of personal work and self-healing and want to seek training in energy modalities. Students explore, express and embody their authentic selves while realizing connection to something greater than themselves and developing as healers. The course of study is divided into two 3-year programs, for a total of six years. The first 3-year segment is the Auric Self-Healing Program, a unique system of healing covering the principles of energetic and psychological healing. Classes are a blend of experiential work, homework, teaching dialog, and meditation resulting in a certificate of completion. Students may then continue their studies in the 3-year Kabbalistic Self-Healing Program where the sacred principles of this ancient form of Jewish mysticism are explored. This is a spiritual mastery which was handed down by oral tradition. Kabbalah is an experience, not a body of information. Designed to embody the creative energies of holistic healing, this course examines the levels of the five universes, The Tree of Life, meditation and the principles of relationship and self. Groups and Classes: Educating ourselves is a crucial component of the healing process. We offer groups and classes on a variety of topics that encourage and motivate our clients to live the best life possible. We also will tailor a class to the needs of specific organizations on a variety of topics such as stress relief, relationships or spirituality. The Estuary also offers groups that are therapeutic in nature. Our groups are ongoing and designed for personal, individual work on various issues but within a group setting. Graceful Aging/Death and Dying Counseling: Our executive director has developed a specialty in this area. She witnesses, counsels, meditates, and provides energy therapy for them as they walk through their journey alongside their families, helping them to work through the death and dying process, and assists the family so that they can grieve healthily and continue to live their lives in peace after their loved ones move on. Holistic Health Program: Discounted Integrative Therapy and Coaching for clients undergoing medical treatment for cancer and other chronic illnesses. The Estuary Cares Program: Clients who meet financial criteria showing need for lower cost services are eligible for The Estuary Cares Program. Under this program, clients can receive up to six (6) sessions with a therapist or coach for a copay of only $50 per session. This allows both the therapist and the client to work together to establish a treatment plan. After six (6) sessions, the therapist and the client can negotiate together the cost of future sessions. All Estuary therapists reserve a portion of their practice for sliding fee scale clients so most Estuary Cares clients will continue at a fee scale that is deeply discounted.",Mental Health,615-467-6462,contact@theestuary.org,https://theestuary.org/,"3010 Poston Avenue suite 200, Nashville, TN 37203, USA",Nashville,TN,By Appointment Only; Mon - Fri10:00 AM -  9:00 PM (EDT); Sat12:00 PM -  4:00 PM  (EDT); SunClosed,,success
Turnip Green Creative Reuse,https://www.givingconnection.org/locations/211,"Mission: “Fostering creativity and sustainability through reuse.” Our mission guides everything that we do at Turnip Green Creative Reuse. Creative reuse is an incredibly effective way to keep material out of our landfills while enhancing our community and helping art come into the world. We partner with artists, schools, teachers, and businesses to breathe new life into old, unwanted or damaged items that would normally be thrown away. We do this through our pay what you wish retail space, education outreach, green galleries, and inclusive open studio space.","Arts & Culture, Education, Environment, Science & Technology",615-720-7480,info@turnipgreencreativereuse.org,https://turnipgreencreativereuse.org/,"1014 3rd Ave S, Nashville, TN 37210, USA",Nashville,TN,Closed; MonClosed; Tue12:00 PM -  6:00 PM  (EDT); Wed12:00 PM -  6:00 PM  (EDT); Thu12:00 PM -  6:00 PM  (EDT); Fri12:00 PM -  6:00 PM  (EDT); SatClosed; SunClosed,,success
I Am Recovery,https://www.givingconnection.org/locations/218,"Mission: Our Mission: The fundamental mission of I Am Recovery is to increase the knowledge, capacity, and accountability of individuals in recovery. Our Goal: To be a recovery capital at the community level by providing recovery education, advocacy training, and support organization meetings. ( 12 Steps of Anonymous all Substance Use areas, family involvement, employment guidance)",Drug & Alcohol Treatment,615-593-0192,Tawanda.IAmRecovery@gmail.com,http://iamrecovery.org,"515 Vanderhorst Dr, Nashville, TN 37207, USA",Nashville,TN,Closed; Mon - Fri10:00 AM - 12:00 AM (EDT); Sat12:00 PM - 10:00 PM  (EDT); Sun12:00 PM - 10:00 PM  (EDT),,success
Homework Hotline,https://www.givingconnection.org/locations/220,"Mission: Homework Hotline’s mission is to help Tennessee students in grades K-12 learn, understand and complete challenging assignments, and master new concepts through free one-on-one tutoring by phone and online chat. Services: Homework Hotline - free tutoring by phone and online Hotline provides free one-on-one tutoring by phone and online chat for K-12 TN students and their guardians. Hotline reaches students who need the most assistance: children from underserved, low-income families and/or low performing schools; children unwilling or unable to attend school-based tutoring; students who need bilingual services; families who cannot afford private tutoring; and students with child care or other after school responsibilities. Homework Hotline provides bilingual instruction in Spanish, Arabic, Farsi, Hindi, Mandarin and Swahili. Weekly Tutoring: Parents/Guardians can enroll their students in weekly tutoring. Hotline's certified teachers will call these students at an agreed upon time weekly in order to help with homework, catch up on work missed, and review concepts in order for students to achieve academic success and grow.","Education, Youth Development",615-298-6636,ask@homeworkhotline.info,http://www.homeworkhotline.info,"4805 Park Avenue, Nashville, TN 37209, USA",Nashville,TN,Closed; Mon5:00 PM - 10:00 PM  (EDT); Tue5:00 PM - 10:00 PM  (EDT); Wed5:00 PM - 10:00 PM  (EDT); Thu5:00 PM - 10:00 PM  (EDT); FriClosed; SatClosed; SunClosed,,success
Autism Career Training,https://www.givingconnection.org/locations/221,"Mission: At ACT, our mission is to identify the abilities of our trainees and to transform those abilities into job skills desired by employers. We use research-based curriculum and hands-on programs designed to prepare trainees for success in the workplace. Vision: Autism Career Training (ACT) is a 501(c)(3) nonprofit organization that provides center-based vocational and prevocational training for individuals on the autism spectrum. We use research-based interventions to prepare our trainees to succeed in meaningful careers and become contributing members of their communities. Services: Day Program Social Groups Pre-Employment Training Employment Training Independent Living Skills Training Speech and Language Services ABA Services IEP Advocacy","Advocacy, Disability Services, Employment",(615) 866-4477,info@autismcareertraining.org,https://autismcareertraining.org/,"6515 Holt Rd, Nashville, TN 37211, USA",Nashville,TN,By Appointment Only; Mon - Fri10:30 AM -  5:30 PM (EDT); SatClosed; SunClosed,,success
Friends Life Community,https://www.givingconnection.org/locations/262,"Mission: The mission of Friends Life Community is to create an opportunity for adults with disabilities to develop socially, grow personally, and enjoy community as they experience life together. Services: Our Immersive Weekday Program provides person-driven support through group learning and community-based classes to develop confidence, self-advocacy, and skills necessary for the Friends to accomplish personal goals and find fulfillment. Participants choose classes in Life Skills, Service Learning & Employment, and Visual & Performing Arts. Day Program Day Program takes place Mon.–Fri., 8am–5pm, on site and in the community. Our curriculum priorities are: Life Skills: Gaining independence is necessary for our Friends to achieve lifelong success. We promote independent living skills through activities and real-world experiences while reinforcing and developing self-confidence. The Arts & Education: Education & The Arts incorporates multi-sensory components to meet each Friend where they are. As our Friends learn and grow, they discover and pursue new interests. This provides them with more opportunities to connect with others, themselves, and self-advocate. Service Learning: From weekly Explorations (outings in Davidson and Williamson counties) to volunteering at local organizations, we create opportunities for our Friends fully engage with the community while gaining job readiness skills. Career Coaching Career Coaching is designed for adults (18+) with IDDs who desire to make progress in the area of employment skills and job readiness. All adults with intellectual and developmental disabilities (“IDDs”) deserve the opportunity to work and contribute to society while becoming fully included in the broader community. We believe adults with IDDs can be successful and valuable employees with the right placement, training, and support. Friends Life Community’s highly qualified staff offers community-based, individualized services at our Friends’ places of employment. Coaching focuses on skill development, leading to increased independence in the workplace, which ensures the successful completion of required duties while actively building relationships with employers. These stabilization and monitoring services increase rates of long-term success in the workplace. Life Coaching Our Life Coaching program provides adults with intellectual and developmental disabilities the opportunity to grow personally and develop skills through individualized and innovative services.Our staff deliver in-home and community-based services, focusing on the development of functional life skills so the client can increase their independence, prepare for independent living, and work to achieve personal goals. Areas of focus include (but are not limited to): Self-management and self-care, Grooming and hygiene, health and safety, Wellness and nutrition, Cooking, Housekeeping and chores, Financial literacy, Social skills, Organizational skills, Transportation, Problem solving and decision making, Living with others, Using technology. Life Coaching is for adults (18+) with IDDs who desire to make progress in the areas of personal development and life skills. Regardless of diagnosis, all adults with IDDs deserve opportunities to build relationships, gain independence, and participate in their community.","Advocacy, Arts & Culture, Disability Services, Education, Human & Social Services",(615) 730-9370,admin@friendslife.org,https://friendslife.org/,"4414 Granny White Pike, Nashville, TN 37204, USA",Nashville,TN,Closed; Mon - Fri10:00 AM -  7:00 PM (EDT); SatClosed; SunClosed,,success
Tennessee Language Center,https://www.givingconnection.org/locations/263,"Mission: The Tennessee Language Center (TLC), an agency of the University of Tennessee Institute for Public Service, is focused on language learning, teaching, and services for the public sector, the business community, and private citizens with a mission of facilitating the intercultural communication goals of Tennesseans and others around the globe. TLC was created as an agency of the State of Tennessee in 1986 under the name Tennessee Foreign Language Institute (TFLI). A one of its kind in state government throughout the U.S., TFLI was a “center of excellence” preparing Tennessee for globalization. TLC became part of the Institute for Public Service of the University of Tennessee in 2018. The Tennessee Language Center, dedicated to responsive public service, strives to facilitate intercultural communication through the provision of quality language instruction; translation and interpretation services; professional development for interpreters, translators and language instructors; and cultural awareness programs, which are designed to meet the needs of the state government and its employees, the business community, foreign language educators, and the public at large. Vision: A world community enriched by linguistic and cultural diversity, unhindered in its efforts to create meaningful dialogues.",Immigrant & Refugee,615-741-7579,info.tlc@tennessee.edu,https://tlc.tennessee.edu/,"220 French Landing Drive, Suite B,  Nashville,  TN,  USA",Nashville,TN,Closed; Mon - Fri11:00 AM -  8:00 PM (EDT); SatClosed; SunClosed,,success
Children's Emergency Care Alliance,https://www.givingconnection.org/locations/269,"Mission: To ensure that every child in Tennessee receives the best pediatric emergency care in order to eliminate the effects of severe illness and injury. Services: EMS Star of Life Program Ambulance services in Tennessee respond every year to over 1 million 911 calls. The EMS Star of Life Awards Program honors the dedication of those who provide day-to-day lifesaving services on the medical ""front line"" in Tennessee. The program presents the life saving scenarios and reunites the EMS caregivers with the individuals they saved from eight EMS regions across the state. This event promotes best practice delivery of emergency medicine. The criteria for the nominations states that the EMS provider must follow best practice protocol and the patient must be neurologically intact. Annual Update in Acute & Emergency Care Pediatrics Conference The Annual Update in Acute & Emergency Care Pediatrics Conference is sponsored by Tennessee Emergency Medical Services for Children Foundation and the four Comprehensive Regional Pediatric Centers (CRPCs) across Tennessee. The mission of the conference is to promote pediatric emergency care to physicians, nurses, emergency medical services, and the community through outreach. This conference, routinely attended by more than 200 healthcare providers, is the only conference of its kind in the state of Tennessee. It brings together physicians, nurses, pre-hospital providers, and administrative decision makers from across the state to focus on acute and emergency care needs of children. Evaluation of our conference is measured through a number of tracking methods including: demographic information, attendee program evaluations, and speaker evaluations. 90% of participants will report increased learning from each workshop. Mock Resuscitation Codes to non children hospital emergency departments & EMS agencies in Tennessee The majority of care administered by emergency departments and ambulances is given to adults. Medical care for children requires special training and equipment. Emergency care providers need to be aware of and trained on these differences.","Disaster Relief & Preparedness, Emergency & Safety, Health",615-343-3672,cecatn@vumc.org,https://cecatn.org/,"3841 Green Hills Village Drive suite 3048, Nashville, TN 37215, USA",Nashville,TN,No Set Business Hours - Call to Inquire,,success
HopeKids Middle Tennessee,https://www.givingconnection.org/locations/667,"Mission: HopeKids provides ongoing events, activities and a powerful, unique support community for families who have a child with cancer or some other life-­threatening medical condition. We surround these remarkable children and their families with the message that hope is a powerful medicine. Vision: Our vision, mission and motivation are driven by our desire to serve in the name of Jesus Christ in response to and out of our gratitude to God. (Colossians 3:17) It is through God’s love and the eternal hope we find in Jesus that we want to love and offer hope to those in need. We cling to the promise that “Hope does not disappoint.” (Romans 5:5) We also believe that hope comes from God, and provides joy and peace in a way that nothing else can. These biblical truths form our belief that hope is a powerful medicine, and all our activities, resources, and time are to be directed to restoring hope for the future to the children and families we serve. We strive to promote integrity, honesty, and openness in the manner in which we conduct our daily financial and management operations. We will be good stewards of all resources that God has blessed us with. The HopeKids program is open to all children with life-threatening medical conditions and their families without regard to background, ethnicity, gender, religion, race, or sexual orientation. Services: HopeDay Program One of the most powerful aspects of our work is our HopeDay Program. Each week, we schedule a variety of sporting events, theater shows, concerts, museum visits or other types of fun activities for the whole family. We strive to keep kids focused on the future, looking forward to the next fun event around the corner, rather than dwelling on what they are dealing with in the present. All of our events are focused on the whole family to prevent siblings from being unintentionally overlooked, bring families together who understand their journey, and are offered at no cost to families. HopeCommunity Program HopeKids events work to foster a support community among families who “get it.” Our HopeCommunity program intentionally builds intimate events to bring together families struggling with similar diagnoses or who live in proximity to each other. These events focus on providing opportunities for families to deepen relationships and build a strong support network at a time when they need it most. Support, love, and encouragement are all necessary for families who have a child with cancer or some other life-­threatening medical condition. Our community of children and their families get to know each other, encourage, and support each other. One of the most inspiring moments is when a child who has just been diagnosed with a particular condition meets a child who has been healed from that same condition. Virtual Program Many of our families find themselves isolated due to their child’s medical condition. Families spend weeks and months in the hospital, or have to travel across the country for specialized treatments. This can leave them feeling disconnected and alone during a difficult season. However, through HopeKids’ virtual program, we can bring hope to our families with fun and unique programming, no matter where their circumstances find them. From virtual book clubs to online cooking classes, these events can be attended in the safety of their homes or hospital beds, and connect families like never before. Virtual programming expands the reach of our community beyond each chapter and fosters incredible connections between parents, siblings, and children with life-threatening illnesses. It’s introducing new friends who may never meet in person–but who are bonded in hope–knowing they are not alone.","Children & Family Services, Faith-Based, Health",615-430-9190,deb@hopekids.org,https://www.hopekids.org/,"PO Box 210961, Nashville, TN 37221",Nashville,TN,No Set Business Hours - Call to Inquire,,success
Maple Built Inc.,https://www.givingconnection.org/locations/668,"Mission: We exist to create employment, job-training, and mentorship opportunities for young men in Nashville. Vision: At Maple Built, we believe that success is a combination of hard work and opportunity and that there is no substitute for either. We have created an environment where young men are given the opportunity to learn how to work hard and make beautiful products worth being proud of. Our wood shop is a place where we incubate good employees. More than just hiring and training young men, we prepare our apprentices to compete in the job-market at their highest potential. Services: Provide training & mentorship for at-risk youths.",Employment,321-506-0625,info@maplebuilt.com,https://www.maplebuilt.com/,"1003 Buchanan Street, Nashville, TN 37208, USA",Nashville,TN,Closed; Mon - Fri3:30 PM -  7:30 PM (EDT); SatClosed; SunClosed,,success
The Build Up Foundation,https://www.givingconnection.org/locations/677,"Mission: The Build Up Foundation (B.U.F) is a non-profit holistic organization committed to helping BUILD UP the community through support of at risk youth through mentorship, education, and youth sports in the Middle Tennessee area. Services: Mentorship Educational Tutoring and ACT Prep Stop Gang and Youth Violence Youth & Sports Training Family Support","Community & Economic Development, Children & Family Services, Education",,contact@thebuildupfoundation.org,https://www.thebuildupfoundation.org/,"Nashville, TN, USA",Nashville,TN,No Set Business Hours - Call to Inquire,,success
The Upward Twist Inc.,https://www.givingconnection.org/locations/678,"Mission: To ignite hope and transformation by empowering those who serve and are served through medical missions. Vision: We are a certified 501(c)(3) geared towards helping fund individuals seeking to embark on medical missions, our purpose is to place value in people. We want to create an outlet and platform that portrays not only positivity, but transformation. Coining the phrase ""Change the lives that save yours,"" we are hungry to invest in the lives of medical professionals that could one day be at your or your family member's bedside when you need them most. The Upward Twist never wants to let finances be the reason why someone is held back from being the hands and feet of Christ. When there's a will, there's a way. And the way...is with the Upward Twist.",Health,,angelle@theupwardtwist.com,https://upwardtwist.org/,"PO Box 159232, Nashville, TN 37215",Nashville,TN,No Set Business Hours - Call to Inquire,,success
Skate AC,https://www.givingconnection.org/locations/893,"Mission: SkateAC 501c3 is a non profit started by skateboarders for skateboarders. We are dedicated to providing opportunities and safe spaces for the youth and local community. Since 2012 we have done dozens of events, given away tens of thousands of dollars worth of products to the youth, and successfully built Atlantic City's first ever skateboard park. Services: Our organization promotes skateboarding by building skateparks, hosting contests, running educational programs, and more.","Advocacy, Education, Sports & Recreation, Youth Development",609-288-0395,SkateAC2022@gmail.com,https://www.skateac.org/,"Back Sov, Atlantic City, NJ, USA",Atlantic City,NJ,Closed; Mon - FriClosed; SatClosed; SunClosed,,success
The Donny Fund,https://www.givingconnection.org/locations/895,"Mission: Organized and operated as a charitable organization that provides funding and/or equipment to families who have a child or children who have medical conditions that require specialized services or treatments and whose diagnoses may be the result of catastrophic or traumatic episodes. Services: The Fund started as a division of the John and Nancy Sykes Foundation, and its mission is to provide assistance to families who have a child with a catastrophic illness or traumatic injury. The Donny Fund Inc. is a 100% volunteer organization and all funds are utilized by local families as they attempt to provide for their youngster under difficult conditions.","Advocacy, Children & Family Services, Disability Services, Health",(609) 641-8666,thedonnyfundinc@gmail.com,https://donnyfundinc.weebly.com/,"1000 Bay Drive, Pleasantville, NJ, USA",Pleasantville,NJ,No Set Business Hours - Call to Inquire,,success
National Day Laborer Organizing Network,https://www.givingconnection.org/locations/1425,"Mission: NDLON improves the lives of day laborers in the United States. To this end, NDLON works to unify and strengthen its member organizations to be more strategic and effective in their efforts to develop leadership, site mobilize, and organize day laborers in order to protect and expand their civil, labor and human rights. NDLON fosters safer, more humane environments for day laborers, both men and women, to earn a living, contribute to society, and integrate into the community. Services: LA Wildfires: Volunteer & Donation Needs: Actively calling for volunteers at 9am tomorrow to pack kits and organize supplies for distro then they’re doing a cleanup crew that’s gonna go out to the neighborhoods starting at 1pm with a mandatory safety briefing. Additional Information: All donations accepted, but ESPECIALLY: baby wipes, masks, alcohol wipes (like for first aid) and ziplocks (gallon-ish size) for making hygiene kits. also diapers and feminine hygiene always appreciated. Reconstruction Works Texas In response to Hurricane Harvey, Reconstruction Works is a collaborative plan designed to support base building initiatives that strengthen relief infrastructure, train and protect migrant worker rights, and integrate low-wage construction workers in Harvey related clean-up and reconstruction jobs Art Works NDLON’s Arts & Culture work is used as a platform to promote the most pressing fights that the immigrant community is facing. Each project is led by a purpose, whether to advocate for a specific policy or demand justice for someone facing deportation. Yet, the larger concept is to act in solidarity, to raise voices together, and to assert the cultural identity of the immigrant community, especially during this time of extreme xenophobia. Artistic expression supports the health, healing and resilience of immigrant communities by lifting up the voice of the people, maintaining identity as central to the movement for equality and dignity. Day laborers and migrants create and frame the narrative surrounding their lives and struggles. In this way, we expand the popular movement on multiple fronts through the engaging nature of cultural production, art as social commentary, and storytelling derived straight from the resilience of the immigrant community.",Advocacy,626) 799-3566,info@ndlon.org,http://ndlon.org/,"1030 South Arroyo Parkway suite 106, Pasadena, California, United States",Pasadena,CA,No Set Business Hours - Call to Inquire,,success
Blind Early Services of Tennessee (BEST),https://www.givingconnection.org/locations/207,"Mission: Blind Early Services TN ensures that families are empowered and equipped through specialized programs of support to provide young children who are blind or low vision their absolute BEST start. Services: BEST Start BEST Start is our early intervention program which provides in-home direct service sessions by certified Teachers of the Visually Impaired (TVI), certified Orientation and Mobility Specialists (COMS) and Early Interventionists of the Visually Impaired (EIVI). BEST Together BEST Together is our parent, caregiver and provider support program for those who have children with blindness or visual disabilities. We offer private connection groups, in-person and virtual get togethers, webinars, monthly newsletter and a podcast offering interviews with both professionals and those with lived experience to share. BEST Advocate This is our parent empowerment program where we provide training and advocacy around disability rights issues, and specifically those pertaining to individuals with a visual disability.","Advocacy, Children & Family Services, Disability Services, Education",615-200-8006,info@blindearlyservices.org,https://www.blindearlyservices.org,"725 Hill Rd, Brentwood, TN 37027, USA",Brentwood,TN,The listed address does not offer services. See website for more information.,,success
Camp Kesem - Vanderbilt,https://www.givingconnection.org/locations/209,"Mission: Kesem's mission is: -To provide children affected by a parent's cancer with a supportive, lifelong camp community that recognizes and understands their unique needs -To empower college students to make a difference and build invaluable leadership skills by developing and managing every aspect of their Camp Kesem chapter Services: Camp Kesem National currently has programs operating at over 130 college campuses across the country. Kesem's Through and Beyond Services allow for year round support and consistent touch points with the children and families we serve. These include: Kesem Warm Welcome Kesem Friends & Family Day Kesem Connections Kesem Special Deliveries Kesem By Your Side Kesem Online Resources",Youth Development,615-392-0697,vanderbilt@kesem.org,http://kesem.org,"Nacome Camp & Retreat Center, 3232 Sulphur Creek Rd, Pleasantville, TN 37033, USA",Pleasantville,TN,No Set Business Hours - Call to Inquire,,success
