"scope_of_work","irs_ntee_code","causes","beneficiaries","services","boolean","day","hours"
,"Q02: Management & Technical Assistance",,,,,,
,"Q03: Professional Societies & Associations",,,,,,
,"Q05: Research Institutes & Public Policy Analysis",,,,,,
,"Q11: Single Organization Support",,,,,,
,"Q12: Fund Raising & Fund Distribution",,,,,,
,"Q19: Support N.E.C.",,,,,,
,"Q20: Promotion of International Understanding",,,,,,
,"Q21: International Cultural Exchange",,,,,,
,"Q22: International Academic Exchange",,,,,,
,"Q23: International Exchange N.E.C.",,,,,,
,"Q30: International Development",,,,,,
,"Q31: International Agricultural Development",,,,,,
,"Q32: International Economic Development",,,,,,
,"Q33: International Relief",,,,,,
,"<html>Q34: International Educational Development <i>(Draft Code - not for internal IRS use)</i></html>",,,,,,
,"Q35: International Democracy & Civil Society Development",,,,,,
,"<html>Q36: International Science & Technology Development <i>(Draft Code - not for internal IRS use)</i></html>",,,,,,
,"<html>Q38: International Environment, Population & Sustainability <i>(Draft Code - not for internal IRS use)</i></html>",,,,,,
,"<html>Q39: International Health Development <i>(Draft Code - not for internal IRS use)</i></html>",,,,,,
,"Q40: International Peace & Security",,,,,,
,"Q41: Arms Control & Peace",,,,,,
,"Q42: United Nations Associations",,,,,,
,"Q43: National Security",,,,,,
,"Q50: International Affairs, Foreign Policy, & Globalization",,,,,,
,"Q51: International Economic & Trade Policy",,,,,,
,"Q70: International Human Rights",,,,,,
,"Q71: International Migration & Refugee Issues",,,,,,
,"Q99: International, Foreign Affairs & National Security N.E.C.",,,,,,
,"R: Civil Rights, Social Action & Advocacy",,,,,,
,"R01: Alliances & Advocacy",,,,,,
,"R02: Management & Technical Assistance",,,,,,
,"R03: Professional Societies & Associations",,,,,,
,"R05: Research Institutes & Public Policy Analysis",,,,,,
,"R11: Single Organization Support",,,,,,
,"R12: Fund Raising & Fund Distribution",,,,,,
,"R19: Support N.E.C.",,,,,,
,"R20: Civil Rights",,,,,,
,"<html>R21: Immigrants' Rights<i>(Draft Code - not for internal IRS use)</i></html>",,,,,,
,"R22: Minority Rights",,,,,,
,"R23: Disabled Persons Rights",,,,,,
,"R24: Womens Rights",,,,,,
,"R25: Seniors Rights",,,,,,
,"R26: Lesbian & Gay Rights",,,,,,
,"<html>R27: Patients' Rights<i>(Draft Code - not for internal IRS use)</i></html>",,,,,,
,"R28: Children's Rights",,,,,,
,"<html>R29: Employee & Workers' Rights<i>(Draft Code - not for internal IRS use)</i></html>",,,,,,
,"R30: Intergroup & Race Relations",,,,,,
,"R40: Voter Education & Registration",,,,,,
,"R60: Civil Liberties",,,,,,
,"R61: Reproductive Rights",,,,,,
,"R62: Right to Life",,,,,,
,"R63: Censorship, Freedom of Speech & Press",,,,,,
,"<html>R65: Freedom of Religion Issues<i>(Draft Code - not for internal IRS use)</i></html>",,,,,,
,"R67: Right to Die & Euthanasia",,,,,,
,"R99: Civil Rights, Social Action & Advocacy N.E.C.",,,,,,
,"S: Community Improvement & Capacity Building",,,,,,
,"S01: Alliances & Advocacy",,,,,,
,"S02: Management & Technical Assistance",,,,,,
,"S03: Professional Societies & Associations",,,,,,
,"S05: Research Institutes & Public Policy Analysis",,,,,,
,"S11: Single Organization Support",,,,,,
,"S12: Fund Raising & Fund Distribution",,,,,,
,"S19: Support N.E.C.",,,,,,
,"S20: Community & Neighborhood Development",,,,,,
,"S21: Community Coalitions",,,,,,
,"S22: Neighborhood & Block Associations",,,,,,
,"S30: Economic Development",,,,,,
,"S31: Urban & Community Economic Development",,,,,,
,"S32: Rural Economic Development",,,,,,
,"S40: Business & Industry",,,,,,
,"S41: Chambers of Commerce & Business Leagues",,,,,,
,"S43: Small Business Development",,,,,,
,"S46: Boards of Trade",,,,,,
,"S47: Real Estate Associations",,,,,,
,"S50: Nonprofit Management",,,,,,
,"S80: Community Service Clubs",,,,,,
,"S81: Womens Service Clubs",,,,,,
,"S82: Mens Service Clubs",,,,,,
,"S99: Community Improvement & Capacity Building N.E.C.",,,,,,
,"T: Philanthropy, Voluntarism & Grantmaking Foundations",,,,,,
,"T01: Alliances & Advocacy",,,,,,
,"T02: Management & Technical Assistance",,,,,,
,"T03: Professional Societies & Associations",,,,,,
,"T05: Research Institutes & Public Policy Analysis",,,,,,
,"T11: Single Organization Support",,,,,,
,"T12: Fund Raising & Fund Distribution",,,,,,
,"T19: Support N.E.C.",,,,,,
,"T20: Private Grantmaking Foundations",,,,,,
,"T21: Corporate Foundations",,,,,,
,"T22: Private Independent Foundations",,,,,,
,"T23: Private Operating Foundations",,,,,,
,"T30: Public Foundations",,,,,,
,"T31: Community Foundations",,,,,,
,"T40: Voluntarism Promotion",,,,,,
,"T50: Philanthropy, Charity & Voluntarism Promotion",,,,,,
,"T70: Federated Giving Programs",,,,,,
,"T90: Named Trusts N.E.C.",,,,,,
,"T99: Philanthropy, Voluntarism & Grantmaking Foundations N.E.C.",,,,,,
,"U: Science & Technology",,,,,,
,"U01: Alliances & Advocacy",,,,,,
,"U02: Management & Technical Assistance",,,,,,
,"U03: Professional Societies & Associations",,,,,,
,"U05: Research Institutes & Public Policy Analysis",,,,,,
,"U11: Single Organization Support",,,,,,
,"U12: Fund Raising & Fund Distribution",,,,,,
,"U19: Support N.E.C.",,,,,,
,"U20: General Science",,,,,,
,"U21: Marine Science & Oceanography",,,,,,
,"U30: Physical & Earth Sciences",,,,,,
,"U31: Astronomy",,,,,,
,"U33: Chemistry & Chemical Engineering",,,,,,
,"U34: Mathematics",,,,,,
,"U36: Geology",,,,,,
,"U40: Engineering & Technology",,,,,,
,"U41: Computer Science",,,,,,
,"U42: Engineering",,,,,,
,"U50: Biological & Life Sciences",,,,,,
,"U99: Science & Technology N.E.C.",,,,,,
,"V: Social Science",,,,,,
,"V01: Alliances & Advocacy",,,,,,
,"V02: Management & Technical Assistance",,,,,,
,"V03: Professional Societies & Associations",,,,,,
,"V05: Research Institutes & Public Policy Analysis",,,,,,
,"V11: Single Organization Support",,,,,,
,"V12: Fund Raising & Fund Distribution",,,,,,
,"V19: Support N.E.C.",,,,,,
,"V20: Social Science",,,,,,
,"V21: Anthropology & Sociology",,,,,,
,"V22: Economics",,,,,,
,"V23: Behavioral Science",,,,,,
,"V24: Political Science",,,,,,
,"V25: Population Studies",,,,,,
,"V26: Law & Jurisprudence",,,,,,
,"V30: Interdisciplinary Research",,,,,,
,"V31: Black Studies",,,,,,
,"V32: Womens Studies",,,,,,
,"V33: Ethnic Studies",,,,,,
,"V34: Urban Studies",,,,,,
,"V35: International Studies",,,,,,
,"V36: Gerontology",,,,,,
,"V37: Labor Studies",,,,,,
,"V99: Social Science N.E.C.",,,,,,
,"W: Public & Societal Benefit",,,,,,
,"W01: Alliances & Advocacy",,,,,,
,"W02: Management & Technical Assistance",,,,,,
,"W03: Professional Societies & Associations",,,,,,
,"W05: Research Institutes & Public Policy Analysis",,,,,,
,"W11: Single Organization Support",,,,,,
,"W12: Fund Raising & Fund Distribution",,,,,,
,"W19: Support N.E.C.",,,,,,
,"W20: Government & Public Administration",,,,,,
,"W22: Public Finance, Taxation & Monetary Policy",,,,,,
,"W24: Citizen Participation",,,,,,
,"W30: Military & Veterans Organizations",,,,,,
,"W40: Public Transportation Systems",,,,,,
,"W50: Telecommunications",,,,,,
,"W60: Financial Institutions",,,,,,
,"W61: Credit Unions",,,,,,
,"W70: Leadership Development",,,,,,
,"W80: Public Utilities",,,,,,
,"W90: Consumer Protection",,,,,,
,"W99: Public & Societal Benefit N.E.C.",,,,,,
,"X: Religion-Related",,,,,,
,"X01: Alliances & Advocacy",,,,,,
,"X02: Management & Technical Assistance",,,,,,
,"X03: Professional Societies & Associations",,,,,,
,"X05: Research Institutes & Public Policy Analysis",,,,,,
,"X11: Single Organization Support",,,,,,
,"X12: Fund Raising & Fund Distribution",,,,,,
,"X19: Support N.E.C.",,,,,,
,"X20: Christianity",,,,,,
,"X21: Protestant",,,,,,
,"X22: Roman Catholic",,,,,,
,"X30: Judaism",,,,,,
,"X40: Islam",,,,,,
,"X50: Buddhism",,,,,,
,"X70: Hinduism",,,,,,
,"X80: Religious Media & Communications",,,,,,
,"X81: Religious Film & Video",,,,,,
,"X82: Religious Television",,,,,,
,"X83: Religious Printing & Publishing",,,,,,
,"X84: Religious Radio",,,,,,
,"X90: Interfaith Coalitions",,,,,,
,"X99: Religion-Related N.E.C.",,,,,,
,"Y: Mutual & Membership Benefit",,,,,,
,"Y01: Alliances & Advocacy",,,,,,
,"Y02: Management & Technical Assistance",,,,,,
,"Y03: Professional Societies & Associations",,,,,,
,"Y05: Research Institutes & Public Policy Analysis",,,,,,
,"Y11: Single Organization Support",,,,,,
,"Y12: Fund Raising & Fund Distribution",,,,,,
,"Y19: Support N.E.C.",,,,,,
,"Y20: Insurance Providers",,,,,,
,"Y22: Local Benevolent Life Insurance Associations",,,,,,
,"Y23: Mutual Insurance Companies & Associations",,,,,,
,"Y24: Supplemental Unemployment Compensation",,,,,,
,"Y25: State-Sponsored Workers Compensation Reinsurance Organizations",,,,,,
,"Y30: Pension & Retirement Funds",,,,,,
,"Y33: Teachers Retirement Fund Associations",,,,,,
,"Y34: Employee Funded Pension Trusts",,,,,,
,"Y35: Multi-Employer Pension Plans",,,,,,
,"Y40: Fraternal Societies",,,,,,
,"Y41: Fraternal Beneficiary Societies",,,,,,
,"Y42: Domestic Fraternal Societies",,,,,,
,"Y43: Voluntary Employees Beneficiary Associations (Non-Government)",,,,,,
,"Y44: Voluntary Employees Beneficiary Associations Government)",,,,,,
,"Y50: Cemeteries",,,,,,
,"Y99: Mutual & Membership Benefit N.E.C.",,,,,,
,"Z: Unknown",,,,,,
,"Z99: Unknown",,,,,,
