"id","name","ein_number","irs_ntee_code","mission_statement_en","vision_statement_en","tagline_en","mission_statement_es","vision_statement_es","tagline_es","website","scope_of_work","facebook","instagram","twitter","linkedin","youtube","blog","active"
37,"Catholic Charities of Tennessee","62-0679520","P60: Emergency Assistance","MISSION: Catholic Charities of Tennessee advocates for and provides services to people in 38 counties of Middle Tennessee, without regard to religious, ethnic, cultural and racial background. Since 1962, Catholic Charities has assisted those in need discover paths to self-sufficiency and a better quality of life.VISION: A community where respect, dignity and quality of life enable all people to thrive.  PURPOSE: To perform acts of love, goodwill and kindness. VALUES:Service to the Poor: We have a preferential option to serve poor and vulnerable people, as we are called to do by Sacred Scripture, Catholic traditions, and our own over riding sense of justice and the unity of all humanity.Respect: We honor the serenity of human life from conception to a natural death, knowing that every person, at every stage of his or her life, deserves to be treated with love, civility, courtesy, dignity, acceptance and tolerance.Integrity: We demonstrate a steadfast commitment to the highest standards of quality in all that we do, thereby promoting trust, confidence, and faith between us and everyone we collaborate with or serve.Compassion: We recognize that we are the same as the people we serve in the eyes of God, no matter what their circumstances or faults, or ours, and so we treat all people as ourselves would want to be treated.Diversity: In everything we do, always mindful of staff, volunteers and all who seek assistance, we honor, respect and include all of God’s children, regardless of their religion, race, sect, language, differences or special needs.","As a living example of Christ, Catholic Charities, Diocese of Nashville, is widely recognized and respected as a leading charitable organization, delivering sustainable impact throughout Middle Tennessee.","Where There Is Need, We Bring Love, Hope, and Healing",,,,"www.cctenn.org","Regional","https://www.facebook.com/CatholicCharitiesofTN/","https://www.instagram.com/catholiccharitiestn/","https://twitter.com/cctenn",,,,"yes"
38,"Urban Housing Solutions","62-1466422","L20: Housing Development, Construction & Management","Urban Housing Solutions provides affordable homes in supportive communities across Greater Nashville.",,,,,,"www.urbanhousingsolutions.org","Regional","https://www.facebook.com/UrbanHousingSolutions","https://www.instagram.com/urbanhousingsolutions/","https://twitter.com/UrbanHousing615",,,,"yes"
39,"Woodbine Community Organization","62-1280006","B60: Adult Education","To empower the people of Woodbine and the surrounding neighbors to improve their lives.",,,,,,"www.woodbinecommunity.org","Regional","https://www.facebook.com/pages/Woodbine-Community-Organization/104347762964468",,,,,,"yes"
40,"Monroe Harding Inc.","62-0476670","P70: Residential Care & Adult Day Programs","Monroe Harding’s mission is to change young people’s lives. Our cause is to ensure that foster care youth and other vulnerable young people build a solid foundation of strengths that position them for success in adulthood. Our cause and mission are accomplished through trauma and resiliency informed programs and services in foster care, supportive housing, clinical emotional and mental health support services, and education, career development, and life skills support services.",,"Homes, Healing, Opportunities and Engagement
",,,,"www.monroeharding.org","Regional","https://www.facebook.com/MonroeHarding/","https://www.instagram.com/monroeharding/","https://twitter.com/monroeharding",,,,"yes"
41,"Samaritan Ministry of Temple Baptist Church Inc.","62-1341004","P60: Emergency Assistance","Our Mission:To educate, empower and support our children, eliminate hunger in our community, engage our volunteers and cultivate donor relations.","Our Organization Provides:
Afterschool (Extended Learning Program)
Bible Study
Encouragement Counseling
Gently Used Clothing
Hot Meals
Medical and Mental Health Referrals Daily
Mentoring
Social Services Referrals
Tutoring",,,,,"www.samaritanministriesnashville.com","Regional","https://www.linkedin.com/in/samaritan-ministry-of-temple-baptist-church-inc-410646162/",,"https://twitter.com/SamaritanTemple","https://www.linkedin.com/in/samaritan-ministry-of-temple-baptist-church-inc-410646162/",,,"yes"
42,"Community Care Fellowship","62-1063538","P85: Homeless Centers","The mission of Community Care Fellowship is to serve Christ by providing families and individuals who are at risk of chronic homelessness and poverty with hope, love, and resources so that they may experience physical, emotional, and spiritual transformation.",,,,,,"www.ccfnashville.org","Regional","https://www.facebook.com/ccfnashville","https://www.instagram.com/ccfnashville/","https://twitter.com/ccf511",,,,"yes"
43,"The Contributor Inc.","37-1551739","S30: Economic Development","The Contributor is a nonprofit, social enterprise in Nashville that creates economic opportunity with dignity by investing in people experiencing homelessness and poverty.  We accomplish this mission by printing a street publication that:Provides over 300 homeless and formerly homeless vendors with a pathway to earn income;Builds community between vendors and customers;Provides a diversity of perspectives and information on the condition of homelessness, highlighting the unique contributions of homeless and formerly homeless individuals.  We are often the first point of contact in Nashville's Continuum of Care for many people experiencing homelessness and we connect our vendors to other valuable services for health care and housing.  Over 70% of our 6-month tenured vendors have obtained housing.",,,,,,"www.thecontributor.org","Regional","https://www.facebook.com/ContributorNashville/?ref=aymt_homepage_panel","https://www.youtube.com/user/ContributorNashville","https://twitter.com/thecontributor",,"https://www.youtube.com/user/ContributorNashville",,"yes"
44,"Tennessee Innocence Project","32-0582082","I80: Legal Services","The mission of the Tennessee Innocence Project is to free innocent people who remain incarcerated, and to bring reform to the system responsible for their unjust imprisonment.","Attorneys in Tennessee do not get any funding for investigators or expert witnesses. This utter lack of funding means that an attorney will be compensated $1000 for reviewing a complex murder trial, re-investigating for new evidence, and re-litigating with a higher burden of proof than ever existed during the jury trial. Under the current system, it is nearly impossible for an inmate in Tennessee to prove their actual innocence without the necessary resources. Complex trials are laborious and require time and resources.","Ensuring justice for all means all.",,,,"http://www.tninnocence.org","Regional","https://www.linkedin.com/company/tennessee-innocence-project/?viewAsMember=true","https://www.youtube.com/channel/UCdjkhXQ1nZv-Fq1Y4Qs2qHw","https://twitter.com/ProjectTenn","https://www.linkedin.com/company/tennessee-innocence-project/?viewAsMember=yes","https://www.youtube.com/channel/UCdjkhXQ1nZv-Fq1Y4Qs2qHw",,"yes"
45,"East Nashville Cooperative Ministry","62-6118270","K31: Food Banks & Pantries","The East Nashville Cooperative Ministry is a Christian, ecumenical organization created and maintained for the purpose of improving the East Nashville community by addressing the spiritual, educational, economic, mental, physical, and emotional needs of its citizens, as individuals and as a community.",,,,,,"www.encm.org","Regional","https://www.facebook.com/ENCM1978/","https://www.instagram.com/encm_food_pantry/","https://twitter.com/encm1978",,,,"yes"
46,"Big Brothers Big Sisters of Middle Tennessee","23-7056024","P31: Adoption","Mission: Create and support one-to-one mentoring relationships that ignite the power and promise of youth.
Vision: All youth achieve their full potential.
 
Accountability Statement: By partnering with parents/guardians, volunteers, and others in the
community we are accountable for each child in our program achieving:- Higher aspirations, greater confidence and better relationships
- Avoidance of risky behaviors
- Educational success",,,,,,"www.mentorakid.org","Regional","https://www.linkedin.com/company/mentorakid/","https://www.instagram.com/mentorakid/","https://twitter.com/bigbrobigsismt","https://www.linkedin.com/company/mentorakid/",,,"yes"
47,"Be A Helping Hand Foundation","62-1853537","S20: Community & Neighborhood Development","Our MISSION is to help low income families and women who are survivors/victims of domestic violence by providing safe affordable housing and advocacy programs that will also empower and strengthen the lives and communities of those that we serve. Our VALUES are to be the positive change we want to see in the world. We strive to create an environment of trust, integrity, and respect for everyone we work with. We aim to provide the highest standards with quality, sustainable housing that anyone would be proud to live in. Our work is to provide families with a home and a strong foundation to build a safe future upon.","Our VISION is to strengthen families by creating sustainable communities through affordable housing.",,,,,"www.bahelpinghand.org","Regional","https://www.facebook.com/bahelpinghand/","https://www.instagram.com/be.a.helping.hand/",,,,,"yes"
48,"The HELP Center","47-2594358","P80: Centers to Support the Independence of Specific Populations","The mission of The HELP Center is to provide ex-offenders, offenders, low income individuals support to restructure their lives and achieve success with counseling, educational, employment, and supportive services.",,,,,,"http://www.thehelpcentertn.org/","Regional","www.facebook.com/thehelpcenterTN","https://www.instagram.com/thehelpcentertn/",,,,,"yes"
49,"Habitat for Humanity of Greater Nashville","58-1636286","L20: Housing Development, Construction & Management","Seeking to put God’s love into action, Habitat for Humanity brings people together to build homes, communities, and hope.",,,,,,"www.habitatnashville.org","Regional","https://www.facebook.com/nashvillehabitat","https://www.youtube.com/user/nashvillehabitat","https://twitter.com/habitatnash",,"https://www.youtube.com/user/nashvillehabitat",,"yes"
